Series ID,Year,Period,Label,Value
CUUSS48BSAF116,2017,S01,2017 Half1,200.028
CUUSS48BSAF116,2017,S02,2017 Half2,199.128
CUUSS48BSAF116,2018,S01,2018 Half1,199.397
CUUSS48BSAF116,2018,S02,2018 Half2,204.978
CUUSS48BSAF116,2019,S01,2019 Half1,203.574
CUUSS48BSAF116,2019,S02,2019 Half2,202.366
CUUSS48BSAF116,2020,S01,2020 Half1,203.417
CUUSS48BSAF116,2020,S02,2020 Half2,204.874
CUUSS48BSAF116,2021,S01,2021 Half1,208.592
CUUSS48BSAF116,2021,S02,2021 Half2,212.075
CUUSS48BSAF116,2022,S01,2022 Half1,217.455
CUUSS48BSAF116,2022,S02,2022 Half2,226.465