Series ID,Year,Period,Label,Dairy,Alcohol,Meats
CUUSS48BSEFJ,2017,S02,2017 Half2,195.98,199.128,212.247
CUUSS48BSEFJ,2018,S01,2018 Half1,198.059,199.397,215.924
CUUSS48BSEFJ,2018,S02,2018 Half2,198.256,204.978,218.53
CUUSS48BSEFJ,2019,S01,2019 Half1,192.378,203.574,217.496
CUUSS48BSEFJ,2019,S02,2019 Half2,193.758,202.366,216.746
CUUSS48BSEFJ,2020,S01,2020 Half1,201.668,203.417,231.894
CUUSS48BSEFJ,2020,S02,2020 Half2,201.197,204.874,239.903
CUUSS48BSEFJ,2021,S01,2021 Half1,205.059,208.592,235.404
CUUSS48BSEFJ,2021,S02,2021 Half2,201.912,212.075,254.713
CUUSS48BSEFJ,2022,S01,2022 Half1,218.112,217.455,269.5
CUUSS48BSEFJ,2022,S02,2022 Half2,232.107,226.465,282.145